municipality_code,municipality_name,issue_year,numerator_period_start,numerator_period_end,reported_lyme_cases,population_total_on_1_january,incidence_per_100000,denominator_status
034,Hrastnik,2021,2021-01-04,2021-12-27,9,9058,99.359682049,valid
034,Hrastnik,2022,2022-01-03,2022-12-26,4,8963,44.6279147607,valid
034,Hrastnik,2023,2023-01-02,2023-12-25,2,8967,22.3040035686,valid
034,Hrastnik,2024,2024-01-01,2024-12-30,3,8939,33.5608009845,valid
035,Hrpelje-Kozina,2016,2016-01-04,2016-12-26,5,4366,114.521300962,valid
035,Hrpelje-Kozina,2017,2017-01-02,2017-12-25,8,4371,183.0244795241,valid
035,Hrpelje-Kozina,2018,2018-01-01,2018-12-31,11,4402,249.8864152658,valid
035,Hrpelje-Kozina,2019,2019-01-07,2019-12-30,2,4467,44.7727781509,valid
035,Hrpelje-Kozina,2020,2020-01-06,2020-12-28,6,4604,130.3214596003,valid
035,Hrpelje-Kozina,2021,2021-01-04,2021-12-27,3,4851,61.8429189858,valid
035,Hrpelje-Kozina,2022,2022-01-03,2022-12-26,2,4970,40.2414486922,valid
035,Hrpelje-Kozina,2023,2023-01-02,2023-12-25,4,5131,77.9575131553,valid
035,Hrpelje-Kozina,2024,2024-01-01,2024-12-30,2,5181,38.6025863733,valid
036,Idrija,2016,2016-01-04,2016-12-26,18,11927,150.9180850172,valid
036,Idrija,2017,2017-01-02,2017-12-25,22,11800,186.4406779661,valid
036,Idrija,2018,2018-01-01,2018-12-31,49,11757,416.772986306,valid
036,Idrija,2019,2019-01-07,2019-12-30,19,11748,161.7296561117,valid
036,Idrija,2020,2020-01-06,2020-12-28,35,11811,296.3339260012,valid
036,Idrija,2021,2021-01-04,2021-12-27,18,11735,153.3873029399,valid
036,Idrija,2022,2022-01-03,2022-12-26,32,11729,272.8280330804,valid
036,Idrija,2023,2023-01-02,2023-12-25,23,11757,195.6281364294,valid
036,Idrija,2024,2024-01-01,2024-12-30,27,11706,230.6509482317,valid
037,Ig,2016,2016-01-04,2016-12-26,20,7163,279.2126204104,valid
037,Ig,2017,2017-01-02,2017-12-25,35,7277,480.9674316339,valid
037,Ig,2018,2018-01-01,2018-12-31,65,7366,882.4327993484,valid
037,Ig,2019,2019-01-07,2019-12-30,22,7463,294.78761892,valid
037,Ig,2020,2020-01-06,2020-12-28,36,7617,472.6270185112,valid
037,Ig,2021,2021-01-04,2021-12-27,13,7656,169.8014629049,valid
037,Ig,2022,2022-01-03,2022-12-26,30,7695,389.8635477583,valid
037,Ig,2023,2023-01-02,2023-12-25,22,7718,285.0479398808,valid
037,Ig,2024,2024-01-01,2024-12-30,36,7793,461.9530347748,valid
038,Ilirska Bistrica,2016,2016-01-04,2016-12-26,24,13594,176.5484772694,valid
038,Ilirska Bistrica,2017,2017-01-02,2017-12-25,31,13482,229.9362112446,valid
