municipality_code,municipality_name,year,population_total_on_1_january,denominator_status
061,Ljubljana,2019,292988,valid
061,Ljubljana,2020,295504,valid
061,Ljubljana,2021,294464,valid
061,Ljubljana,2022,293218,valid
061,Ljubljana,2023,296228,valid
061,Ljubljana,2024,297575,valid
062,Ljubno,2016,2604,valid
062,Ljubno,2017,2572,valid
062,Ljubno,2018,2545,valid
062,Ljubno,2019,2541,valid
062,Ljubno,2020,2550,valid
062,Ljubno,2021,2576,valid
062,Ljubno,2022,2542,valid
062,Ljubno,2023,2560,valid
062,Ljubno,2024,2512,valid
063,Ljutomer,2016,11491,valid
063,Ljutomer,2017,11374,valid
063,Ljutomer,2018,11329,valid
063,Ljutomer,2019,11261,valid
063,Ljutomer,2020,11268,valid
063,Ljutomer,2021,11233,valid
063,Ljutomer,2022,11140,valid
063,Ljutomer,2023,11042,valid
063,Ljutomer,2024,11000,valid
064,Logatec,2016,13752,valid
064,Logatec,2017,13802,valid
064,Logatec,2018,13976,valid
064,Logatec,2019,14150,valid
064,Logatec,2020,14396,valid
064,Logatec,2021,14681,valid
064,Logatec,2022,14699,valid
064,Logatec,2023,15065,valid
064,Logatec,2024,15046,valid
065,Loška dolina,2016,3857,valid
065,Loška dolina,2017,3835,valid
065,Loška dolina,2018,3731,valid
065,Loška dolina,2019,3744,valid
065,Loška dolina,2020,3757,valid
065,Loška dolina,2021,3703,valid
065,Loška dolina,2022,3624,valid
065,Loška dolina,2023,3550,valid
065,Loška dolina,2024,3526,valid
066,Loški Potok,2016,1866,valid
066,Loški Potok,2017,1863,valid
066,Loški Potok,2018,1838,valid
066,Loški Potok,2019,1798,valid
066,Loški Potok,2020,1789,valid
066,Loški Potok,2021,1816,valid
066,Loški Potok,2022,1807,valid
066,Loški Potok,2023,1797,valid
066,Loški Potok,2024,1803,valid
067,Luče,2016,1495,valid
067,Luče,2017,1490,valid
067,Luče,2018,1472,valid
067,Luče,2019,1462,valid
067,Luče,2020,1448,valid
067,Luče,2021,1454,valid
067,Luče,2022,1455,valid
067,Luče,2023,1437,valid
067,Luče,2024,1421,valid
068,Lukovica,2016,5731,valid
068,Lukovica,2017,5761,valid
068,Lukovica,2018,5799,valid
068,Lukovica,2019,5838,valid
068,Lukovica,2020,5890,valid
068,Lukovica,2021,5888,valid
068,Lukovica,2022,5978,valid
068,Lukovica,2023,6020,valid
068,Lukovica,2024,6131,valid
069,Majšperk,2016,3986,valid
069,Majšperk,2017,4016,valid
069,Majšperk,2018,4021,valid
069,Majšperk,2019,4042,valid
069,Majšperk,2020,4056,valid
069,Majšperk,2021,4060,valid
