municipality_code,grid_cell_index,latitude,longitude,intersection_area_m2,normalized_intersection_weight
051,294,46.1,15.5,42273968.2641424,0.470722826166021
051,295,46.1,15.6,22438476.48145,0.24985359780305
051,328,46,15.5,1719879.63122865,0.0191509487734567
051,329,46,15.6,23251948.2399989,0.258911647967581
051,330,46,15.7,122224.783058917,0.00136097928989136
052,181,46.4,14.4,7829.29586440437,5.18795487054019e-05
052,213,46.3,14.2,13037567.1704144,0.0863913067958786
052,214,46.3,14.3,29738582.6692845,0.197057854849395
052,215,46.3,14.4,38183563.7262051,0.253017140798801
052,247,46.2,14.2,1479053.3493141,0.00980070514674137
052,248,46.2,14.3,35374581.0293023,0.234403876316212
052,249,46.2,14.4,33091775.1613995,0.219277236544265
053,140,46.5,13.7,27075472.0617994,0.10559454860394
053,141,46.5,13.8,53492250.3850783,0.208620186578046
053,142,46.5,13.9,57243677.9125557,0.223250782693978
053,143,46.5,14,22241318.290976,0.0867413118386855
053,174,46.4,13.7,10849780.9987665,0.0423142290705537
053,175,46.4,13.8,38276891.798467,0.149280171448001
053,176,46.4,13.9,42099317.5186614,0.164187661059807
053,177,46.4,14,5131043.428709,0.02001110870699
054,293,46.1,15.4,6845972.2336283,0.0238865451338631
054,294,46.1,15.5,10382878.6954478,0.0362273015598831
054,327,46,15.4,44913715.6701636,0.156710173496608
054,328,46,15.5,83946914.9652888,0.292902411043551
054,329,46,15.6,4018764.08680992,0.014022024405883
054,360,45.9,15.3,2964297.00744267,0.0103428427463731
054,361,45.9,15.4,57070569.3207338,0.199127119329912
054,362,45.9,15.5,59519407.8179538,0.207671455954892
054,363,45.9,15.6,1870470.77291023,0.00652633154414832
054,396,45.8,15.5,15070710.1851156,0.0525837947848854
055,90,46.7,15.5,326752.741320048,0.00667433801505374
055,91,46.7,15.6,20433640.4230192,0.417382949903743
055,124,46.6,15.5,687603.808099122,0.0140451774548283
055,125,46.6,15.6,26363489.871589,0.53850762490492
055,126,46.6,15.7,1145089.91056132,0.0233899097214552
056,28,46.9,16.1,5844943.50909015,0.25571464843784
056,62,46.8,16.1,17012345.0537547,0.74428535156216
057,256,46.2,15.1,6409493.79691369,0.0324430456084633
057,257,46.2,15.2,34720147.8547134,0.175743572905157
057,258,46.2,15.3,25090986.8626876,0.127003482168826
057,259,46.2,15.4,4088426.40587352,0.0206944586507705
057,290,46.1,15.1,1167925.20003627,0.00591170718509718
057,291,46.1,15.2,48623554.7365815,0.246118687988141
057,292,46.1,15.3,66323697.2711811,0.335711805591723
057,293,46.1,15.4,11137176.6949156,0.0563732399018228
058,127,46.6,15.8,33560733.4937205,0.540329918501485
058,128,46.6,15.9,4789734.87932427,0.0771150325863183
058,161,46.5,15.8,22163330.2199165,0.356831009479863
058,162,46.5,15.9,1597760.18726627,0.0257240394323335
059,132,46.6,16.3,1683519.09171654,0.0138942373184098
059,133,46.6,16.4,51234734.1053551,0.422844955015982
059,134,46.6,16.5,15339674.8522946,0.126599742072251
059,166,46.5,16.3,1642401.93447504,0.0135548936522865
059,167,46.5,16.4,12921296.8385383,0.10664064673791
059,168,46.5,16.5,34553627.7510231,0.285174255847133
059,169,46.5,16.6,3791460.31247927,0.0312912693560288
060,286,46.1,14.7,5468222.96937436,0.0247041299253463
060,287,46.1,14.8,54962007.7611421,0.248305269974113
060,288,46.1,14.9,44948640.0469756,0.203067257847234
060,289,46.1,15,25022513.0179707,0.113045758396597
060,290,46.1,15.1,2207095.26456095,0.00997113111127739
060,321,46,14.8,780287.397287801,0.00352515275065926
060,322,46,14.9,14627048.2719012,0.0660815228195975
060,323,46,15,61988587.5838995,0.280049685270346
060,324,46,15.1,11344132.7657931,0.0512500919048287
061,283,46.1,14.4,15030351.7073587,0.0546560848111608
061,284,46.1,14.5,71416160.3091596,0.25969636577658
061,285,46.1,14.6,35947351.9754226,0.130718266382511
061,286,46.1,14.7,20071721.424316,0.0729884256757816
061,317,46,14.4,7101774.13964668,0.0258247562827289
061,318,46,14.5,46391050.0758804,0.168695531335088
061,319,46,14.6,39718149.3152052,0.144430322043055
061,320,46,14.7,39091075.0248059,0.142150041031255
061,321,46,14.8,231055.731085404,0.000840206661839174
062,185,46.4,14.8,30376230.5713845,0.384070127527615
062,186,46.4,14.9,26004860.4638173,0.328799521428604
062,219,46.3,14.8,14294721.2228971,0.180739193105208
062,220,46.3,14.9,8414511.08187607,0.106391157938573
063,131,46.6,16.2,10306908.2900539,0.0961835739759661
063,163,46.5,16,9034688.00552254,0.0843112752800484
063,164,46.5,16.1,33243620.4355709,0.310227871968087
063,165,46.5,16.2,52124098.7258938,0.486419590108367
063,166,46.5,16.3,2449400.56893419,0.0228576886675317
064,314,46,14.1,12091849.8932879,0.0698750704452458
064,315,46,14.2,40117410.8361949,0.231826141822685
064,348,45.9,14.1,25228873.8082511,0.145789879146971
064,349,45.9,14.2,69314419.6663844,0.400546649173047
064,350,45.9,14.3,26220284.3802902,0.151518935012926
064,384,45.8,14.3,76717.0902882537,0.000443324399124541
