municipality_code,week_start,week_end,weather_status,source_hour_count,minimum_present_hours,t2m_mean_c,d2m_mean_c,tp_sum_mm,stl1_mean_c,stl2_mean_c,swvl1_mean_m3_m3,swvl2_mean_m3_m3
005,2016-04-04,2016-04-10,complete,168,168,11.1935204864115,7.25615603279074,14.4581575720523,10.8270481220335,10.2295335025646,0.33136179023857,0.329881145483368
006,2016-04-04,2016-04-10,complete,168,168,7.83629639255413,4.59940572581168,24.797859389597,5.7859770383839,4.91242882719281,0.39463705966441,0.394263097935737
007,2016-04-04,2016-04-10,complete,168,168,12.6448993679995,8.83709736902863,18.1678538842113,12.454286740776,11.8174181520876,0.364555968149383,0.363451062410604
008,2016-04-04,2016-04-10,complete,168,168,11.4152802651673,7.44618565498973,14.927442718682,10.9639915774832,10.3489295789579,0.328555789477892,0.326474502999854
009,2016-04-04,2016-04-10,complete,168,168,13.8049403403232,7.69164405141048,9.43463389485767,13.2865813177931,12.4882473776388,0.316936922465273,0.317973475173017
010,2016-04-04,2016-04-10,complete,168,168,13.8701865095076,6.8289541183062,12.9391833329956,13.4651783229716,12.643490604023,0.307051575845611,0.315051018702362
011,2016-04-04,2016-04-10,complete,168,168,12.762916515014,7.74599373239008,11.0471078307781,12.2163066460043,11.4093623172586,0.329502873080181,0.329516937834537
012,2016-04-04,2016-04-10,complete,168,168,11.0108430432428,6.97870374720351,17.2720590174724,10.4727279479408,9.72778041000863,0.339692991381289,0.33601841812718
013,2016-04-04,2016-04-10,complete,168,168,10.5124499740406,6.49523154303982,13.4676165475891,10.1984863218374,9.61155991287183,0.329258957939501,0.330360592995549
014,2016-04-04,2016-04-10,complete,168,168,9.99979367039987,6.53677847938034,18.6417164508458,9.46796224370376,8.80620935471805,0.350653846725834,0.347580123641094
015,2016-04-04,2016-04-10,complete,168,168,14.1324486625715,6.91707736395125,10.898241081337,13.8806591863797,13.0987507532062,0.310383472279156,0.316921931493816
016,2016-04-04,2016-04-10,complete,168,168,9.68106152557598,5.47692801586152,15.4638333513706,9.68941277669786,8.88621387392089,0.341626674514287,0.340035294625257
017,2016-04-04,2016-04-10,complete,168,168,12.4615529226098,7.96052392192108,11.0012738431541,12.0206282292001,11.3965627464647,0.32449638910178,0.325376292097754
018,2016-04-04,2016-04-10,complete,168,168,13.9225409470478,7.13119630661539,12.7237688477328,13.5067921076554,12.6503489391805,0.312061932299106,0.31830921655337
019,2016-04-04,2016-04-10,complete,168,168,11.6404239756924,7.30714558766409,13.0433847368782,11.2549626310287,10.6963332457366,0.338288025607379,0.337761331365424
020,2016-04-04,2016-04-10,complete,168,168,11.5718663823681,7.13183037802937,13.8141570840748,11.1932339228843,10.5711888619514,0.328151838027683,0.326437606941698
021,2016-04-04,2016-04-10,complete,168,168,11.1960418832781,7.40986014659634,16.3118867846968,10.7191224113758,10.0655859050204,0.339817665355499,0.336183196770582
022,2016-04-04,2016-04-10,complete,168,168,11.9943609628615,7.73086561838637,15.4498033223679,11.2775337537215,10.5968283344688,0.325952041469514,0.322276317001466
023,2016-04-04,2016-04-10,complete,168,168,11.9303880975068,7.77719901127797,16.041317498576,11.2024365948426,10.5010242439315,0.329759155633696,0.325732418136574
