scenario_family,year,air_temperature_c_mean_climate,near_surface_specific_humidity_g_kg_climate,precipitation_sum_mm_proxy_climate,soil_moisture_upper_portion_kg_m2_climate,air_temperature_c_mean_climate_anomaly_vs_2016_2025,near_surface_specific_humidity_g_kg_climate_anomaly_vs_2016_2025,precipitation_sum_mm_proxy_climate_anomaly_vs_2016_2025,soil_moisture_upper_portion_kg_m2_climate_anomaly_vs_2016_2025,lyme_cases,kme_cases,tick_borne_cases_total,lyme_cases_per_100k,kme_cases_per_100k,tick_borne_cases_total_per_100k,lyme_cases_lag_1y,lyme_cases_lag_2y,lyme_cases_lag_3y,lyme_cases_rolling_3y_mean,kme_cases_lag_1y,kme_cases_lag_2y,kme_cases_lag_3y,kme_cases_rolling_3y_mean,tick_borne_cases_total_lag_1y,tick_borne_cases_total_lag_2y,tick_borne_cases_total_lag_3y,tick_borne_cases_total_rolling_3y_mean,lyme_cases_per_100k_lag_1y,lyme_cases_per_100k_lag_2y,lyme_cases_per_100k_lag_3y,lyme_cases_per_100k_rolling_3y_mean,kme_cases_per_100k_lag_1y,kme_cases_per_100k_lag_2y,kme_cases_per_100k_lag_3y,kme_cases_per_100k_rolling_3y_mean,tick_borne_cases_total_per_100k_lag_1y,tick_borne_cases_total_per_100k_lag_2y,tick_borne_cases_total_per_100k_lag_3y,tick_borne_cases_total_per_100k_rolling_3y_mean,table_role,target_available,projection_horizon_years_from_2025
high_emissions,2051,11.279279311498009,6.685178558031718,1223.0490219593048,26.838128248850506,1.0447247187296558,0.4114439467589061,45.08788212537775,-0.9371485869089716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,26
high_emissions,2052,11.43378496170044,6.71634966135025,1231.3924593925476,26.725922107696533,1.1992303689320885,0.4426150500774382,53.431319558620544,-1.0493547280629445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,27
high_emissions,2053,11.501596490542092,6.825226386388143,1229.9083080291748,27.504350503285725,1.2670418977737423,0.5514917751153305,51.94716819524774,-0.2709263324737527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,28
high_emissions,2054,11.49540877342224,6.723229706287384,1203.5230062007904,27.11092933019002,1.2608541806538902,0.4494950950145719,25.56186636686334,-0.6643475055694559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,29
high_emissions,2055,11.575143933296204,6.735388378302257,1166.802494764328,26.61069981257121,1.3405893405278526,0.4616537670294445,-11.15864506959906,-1.1645770231882686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,30
high_emissions,2056,11.702176928520204,6.8002429604530334,1233.827585697174,26.504233360290527,1.4676223357518516,0.5265083491802214,55.86644586324701,-1.27104347546895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,31
high_emissions,2057,11.71460590759913,6.798997302850087,1219.117998838425,26.65105851491292,1.4800513148307797,0.5252626915772751,41.15685900449762,-1.1242183208465557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,32
high_emissions,2058,11.747015873591105,6.740721821784973,1192.4049475193024,26.906339327494305,1.5124612808227536,0.4669872105121611,14.443807685375305,-0.8689375082651729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,33
high_emissions,2059,11.860244850317637,6.89582363764445,1177.9359412193298,26.67430226008097,1.6256902575492855,0.6220890263716381,-0.0251986145972296,-1.100974575678503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,34
high_emissions,2060,11.861837406953176,6.938646892706553,1265.803148269653,26.74701468149821,1.6272828141848257,0.6649122814337414,87.84200843572626,-1.0282621542612669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,35
