fold_id,challenger_id,feature,feature_importance
fold_04_validate_2020,catboost_poisson_s3_weather_offset,z_swvl2_mean_m3_m3_lag_1w,0.137871512613607
fold_04_validate_2020,catboost_poisson_s3_weather_offset,z_swvl2_mean_m3_m3_lag_2w,0.101325008686299
fold_04_validate_2020,catboost_poisson_s3_weather_offset,z_swvl2_mean_m3_m3_previous_4w_mean,0.560174865203195
fold_05_validate_2021,catboost_poisson_s3_weather_offset,municipality_code,4.83963525802388
fold_05_validate_2021,catboost_poisson_s3_weather_offset,seasonal_sin_annual,8.66634320183888
fold_05_validate_2021,catboost_poisson_s3_weather_offset,seasonal_cos_annual,46.2442214279893
fold_05_validate_2021,catboost_poisson_s3_weather_offset,past_4w_lyme_incidence_per_100000,24.125163860797
fold_05_validate_2021,catboost_poisson_s3_weather_offset,z_t2m_mean_c_lag_1w,0.985232966782988
fold_05_validate_2021,catboost_poisson_s3_weather_offset,z_t2m_mean_c_lag_2w,0.110810481891196
fold_05_validate_2021,catboost_poisson_s3_weather_offset,z_t2m_mean_c_previous_4w_mean,3.07067502318599
fold_05_validate_2021,catboost_poisson_s3_weather_offset,z_d2m_mean_c_lag_1w,0.22290488700942
fold_05_validate_2021,catboost_poisson_s3_weather_offset,z_d2m_mean_c_lag_2w,0.117617651869888
fold_05_validate_2021,catboost_poisson_s3_weather_offset,z_d2m_mean_c_previous_4w_mean,0.526136731324906
fold_05_validate_2021,catboost_poisson_s3_weather_offset,z_tp_sum_mm_lag_1w,0.0465475028685119
fold_05_validate_2021,catboost_poisson_s3_weather_offset,z_tp_sum_mm_lag_2w,0.0115740925917694
fold_05_validate_2021,catboost_poisson_s3_weather_offset,z_tp_sum_mm_previous_4w_sum,0.814920989725214
fold_05_validate_2021,catboost_poisson_s3_weather_offset,z_stl1_mean_c_lag_1w,0.424697119011811
fold_05_validate_2021,catboost_poisson_s3_weather_offset,z_stl1_mean_c_lag_2w,0.679848477336822
fold_05_validate_2021,catboost_poisson_s3_weather_offset,z_stl1_mean_c_previous_4w_mean,2.21057353508321
fold_05_validate_2021,catboost_poisson_s3_weather_offset,z_stl2_mean_c_lag_1w,0.287117982860596
fold_05_validate_2021,catboost_poisson_s3_weather_offset,z_stl2_mean_c_lag_2w,0.681567505810564
fold_05_validate_2021,catboost_poisson_s3_weather_offset,z_stl2_mean_c_previous_4w_mean,5.10068123426066
fold_05_validate_2021,catboost_poisson_s3_weather_offset,z_swvl1_mean_m3_m3_lag_1w,0.13691579447901
fold_05_validate_2021,catboost_poisson_s3_weather_offset,z_swvl1_mean_m3_m3_lag_2w,0.0337305591533854
fold_05_validate_2021,catboost_poisson_s3_weather_offset,z_swvl1_mean_m3_m3_previous_4w_mean,0.321787878742313
fold_05_validate_2021,catboost_poisson_s3_weather_offset,z_swvl2_mean_m3_m3_lag_1w,0.0503046064034107
fold_05_validate_2021,catboost_poisson_s3_weather_offset,z_swvl2_mean_m3_m3_lag_2w,0.0721909677201965
