municipality_code,week_start,week_end,weather_status,source_hour_count,minimum_present_hours,t2m_mean_c,d2m_mean_c,tp_sum_mm,stl1_mean_c,stl2_mean_c,swvl1_mean_m3_m3,swvl2_mean_m3_m3
138,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
139,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
140,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
141,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
142,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
143,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
144,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
146,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
147,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
148,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
149,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
150,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
151,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
152,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
153,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
154,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
155,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
156,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
157,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
158,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
159,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
160,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
161,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
162,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
163,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
164,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
165,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
166,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
167,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
